Number Name Size Length Width Height OriginalFrameCount SettingFrameCount OriginalFrameRate SettingFrameRate Time
0 8082fcc6-e09a-4440-aa24-06c58490bbfe.mp4 96188270 378.22 1440 1080 11346 378 30.0 1.0 0.22
1 2c84e6a0-2a0b-4de8-ae99-aedbc871dffa.mp4 408083934 2024.07 1440 1080 60722 2024 30.0 1.0 0.15
2 b40913e4-79cc-45b6-a072-490667ced20f.mp4 199788777 805.3 1440 1080 24159 805 30.0 1.0 0.24
3 2da81c47-219f-41f6-8b6f-bdb30991b1b1.mp4 605842075 1911.4 1920 1080 57342 1911 30.0 1.0 0.32
4 0b0c7c26-8f38-4a22-8a9e-b99e4ae334fc.mp4 1672132149 2328.08 1440 1080 69842 2328 30.0 1.0 0.32
5 41994d8d-62d3-43de-bc58-dbb827baa04e.mp4 26966553 98.83 1920 1080 2964 98 30.0 1.0 0.17
6 a1268c71-c887-46ce-89e1-e3d188cb5625.mp4 646502251 1310.9 1920 1080 39327 1310 30.0 1.0 0.32
7 fe932baa-503a-4187-80b7-fe1e115af0ae.mp4 135628712 365.0 1920 1080 10950 365 30.0 1.0 0.22
8 c20cf0c7-8c75-47cb-b069-46c2a2058519.mp4 50063717 339.87 1440 1080 10196 339 30.0 1.0 0.14
9 a3165cc5-ac40-422f-8b90-06dc00985165.mp4 280917125 1768.89 1920 1080 53066 1768 30.0 1.0 0.31
10 eaae5092-e43b-46e2-b501-0cf3a6885972.mp4 900198743 3062.71 1920 1080 91881 3062 30.0 1.0 0.40
11 7c0894a3-d233-4f17-9e30-6f0abacb8312.mp4 2615996761 720.97 2560 1920 21629 720 30.0 1.0 0.31
12 a029ca31-e8da-4a19-aa5e-ef3dec6e80dc.mp4 715102776 228.37 2560 1920 6851 228 30.0 1.0 0.37
13 72c1c79c-c222-49c3-a20d-cf76e865b9bd.mp4 66692975 121.77 2560 1920 3653 121 30.0 1.0 0.30
14 1eee4aaf-a21c-4ae5-82cd-96fdccae6742.mp4 523824052 2112.93 1920 1080 63387 2112 30.0 1.0 0.19
15 c1aecf85-ca86-4f96-b40e-65717559aa11.mp4 1318479239 356.63 1920 1440 10698 356 30.0 1.0 0.39
16 e3e99135-3078-4c79-b1b6-6887b9da362f.mp4 676403015 1459.5 1920 1440 43785 1459 30.0 1.0 0.21
17 f90a8ae7-635c-4c58-a7fd-07879d4cb6d6.mp4 36205022 124.82 1920 1440 3744 124 30.0 1.0 0.33
18 29e193be-b903-4b6d-a5b9-5c62d8e2b913.mp4 222976159 1311.93 1440 1080 39357 1311 30.0 1.0 0.31
19 c00a27da-98bb-4761-8093-45fd30a3f43f.mp4 1703433345 1594.07 1440 1080 47822 1594 30.0 1.0 0.41
20 2a97736a-4fff-4753-84de-e6586a5603cc.mp4 284721246 4163.2 1440 1080 124896 4163 30.0 1.0 0.19
21 8c05c45e-df59-44fa-8e58-1e9ea4edbc86.mp4 208807584 892.97 1920 1440 26789 892 30.0 1.0 0.36
22 deb43adb-2e2f-454a-ba4e-811ebfe4eaa2.mp4 78375362 155.09 1920 1440 4652 155 30.0 1.0 0.45
23 ea56c830-10ae-449f-a5d9-62d58289ea18.mp4 2473059079 531.57 2560 1920 15947 531 30.0 1.0 0.38
24 f894fea5-5bb5-46c2-a66a-8463f6f43450.mp4 289526967 2124.13 1440 1080 63723 2124 30.0 1.0 0.17
25 2413dce7-2c3e-43cd-8482-fbc3ed465adf.mp4 168305439 1059.07 1440 1080 31772 1059 30.0 1.0 0.31
26 60e63a2b-cbf9-420a-b17a-c50848b7f096.mp4 11434016203 2187.03 2560 1920 65610 2187 30.0 1.0 0.41
27 9fd2f2f1-aaee-457b-81b6-565c9b1ffca6.mp4 233631345 595.47 1920 1080 17864 595 30.0 1.0 0.37
28 92a5421f-1162-40bf-bb70-39a0758e4e5c.mp4 288343994 1584.25 1440 1080 47527 1584 30.0 1.0 0.73
29 6b1638b7-db47-44ca-adb7-293e65006856.mp4 95145919 915.82 1440 1080 27474 915 30.0 1.0 0.26
30 dfd111f7-55fa-4b89-9488-2b752c0a5109.mp4 658214452 1670.33 1920 1080 50109 1670 30.0 1.0 0.34
31 1def75d5-bd39-4638-8b3d-a4e1c2ceefeb.mp4 254795155 1353.18 1440 1080 40595 1353 30.0 1.0 0.30
32 09f9118e-7141-471e-a49e-1e042104961c.mp4 173852292 841.07 2560 1920 25232 841 30.0 1.0 0.28
